ident,id,type,name,latitude,longitude,elevation_ft,continent,iso_country,iso_region,municipality
16882,CO28,balloonport,Suckla Farms Balloonport,40.05830002,-104.8919983,5050,NA,US,US-CO,Dacono
301857,BCJ,closed,Baca Grande Airfield,37.96477778,-105.7766667,7620,NA,US,US-CO,Crestone
16921,CO67,closed,Schwartzwalder Heliport,39.847197,-105.281998,6580,NA,US,US-CO,Golden
16923,CO70,closed,Uhrich Airport,40.460499,-104.646003,4715,NA,US,US-CO,Greeley
18748,K3V5,closed,Fort Collins Downtown Airport,40.5882988,-105.0419998,4939,NA,US,US-CO,Fort Collins
300244,US-0174,closed,Aurora Airpark,39.7325,-104.6547222,5665,NA,US,US-CO,Aurora
28113,X-KDEN,closed,Denver Stapleton International Airport,39.77420044,-104.8789978,5333,NA,US,US-CO,Denver
6585,01CO,heliport,St Vincent General Hospital Heliport,39.24530029,-106.2460022,10175,NA,US,US-CO,Leadville
7117,0CD0,heliport,Delta County Memorial Hospital Heliport,38.74079895,-108.052002,5000,NA,US,US-CO,Delta
7118,0CD1,heliport,Colorado Plains Medical Center Heliport,40.2610917,-103.7963389,4356,NA,US,US-CO,Fort Morgan
7120,0CD3,heliport,Branch's Heliport,40.34799957,-104.5279999,4635,NA,US,US-CO,Kersey
7121,0CD4,heliport,Kauffman Heliport,40.14630127,-104.887001,5120,NA,US,US-CO,Denver
7123,0CD6,heliport,Exempla Good Samaritan Heliport,39.97169876,-105.0849991,5204,NA,US,US-CO,Lafayette
7125,0CD8,heliport,Prowers Medical Center Heliport,38.07109833,-102.6090012,3575,NA,US,US-CO,Lamar
7126,0CD9,heliport,Swedish S.W. Medical Heliport,39.60309982,-105.0910034,5563,NA,US,US-CO,Littleton
7137,0CO0,heliport,Longmont United Hospital Heliport,40.17890167,-105.1259995,5047,NA,US,US-CO,Longmont
7141,0CO4,heliport,Geo-Seis Helicopters Heliport,40.58990097,-105.0459976,4935,NA,US,US-CO,Fort Collins
7144,0CO7,heliport,Century Helicopters Heliport,40.58549881,-105.0400009,4935,NA,US,US-CO,Fort Collins
7704,11CO,heliport,Channel 7 Heliport,39.72529984,-104.9840012,5300,NA,US,US-CO,Denver
7813,13CO,heliport,Mann Heliport,40.55559921,-106.8440018,7500,NA,US,US-CO,Steamboat Springs
7932,15CO,heliport,Swedish Medical Center Heliport,39.65470123,-104.9710007,5374,NA,US,US-CO,Englewood
8085,18CO,heliport,Rangely District Hospital Heliport,40.0807991,-108.8040009,5224,NA,US,US-CO,Rangely
8132,19CO,heliport,Memorial Hospital Heliport,38.8404007,-104.7990036,6155,NA,US,US-CO,Colorado Springs
8231,1CD0,heliport,Murphy Heliport,40.14279938,-105.0029984,4870,NA,US,US-CO,Longmont
8235,1CD5,heliport,Rio Grande Hospital Heliport,37.67499924,-106.362999,7190,NA,US,US-CO,Del Norte
8245,1CO0,heliport,Aurora Regional Medical Center Heliport,39.68830109,-104.8320007,5604,NA,US,US-CO,Aurora
8246,1CO1,heliport,Mount Morrison Heliport,39.6692009,-105.2200012,7881,NA,US,US-CO,Morrison
8251,1CO6,heliport,Lands End Microwave Heliport,39.09049988,-108.2210007,9940,NA,US,US-CO,Palisade
8254,1CO9,heliport,MCHD Heliport,37.36299896,-108.5749969,6153,NA,US,US-CO,Cortez
8781,20CO,heliport,Lookout Center Rooftop Heliport,39.73550034,-105.2070007,5918,NA,US,US-CO,Golden
8827,21CO,heliport,Lookout Center Parking Lot Heliport,39.7344017,-105.2060013,5898,NA,US,US-CO,Golden
45328,22CD,heliport,Platte Valley Medical Center Heliport,39.9625,-104.766667,5115,NA,US,US-CO,Brighton
45327,24CD,heliport,Michigan River Ranch Heliport,40.567914,-106.060647,8620,NA,US,US-CO,Walden
8992,24CO,heliport,Ibm Building 910 Heliport,40.06639862,-105.2060013,5150,NA,US,US-CO,Boulder
9095,26CO,heliport,Lockheed Martin Cmd & Cntrl Sys Heliport,38.98389816,-104.8010025,6685,NA,US,US-CO,Colorado Springs
